COMPANY|Stock Date|Stock Open|Stock High|Stock Low|Stock Close|Stock Adj Close|Stock Volume
TSLA|2021-02-04 00:00:00|855.0|856.5|833.42|849.99|849.99|15812700
TSLA|2021-02-05 00:00:00|845.0|864.77|838.97|852.23|852.23|18566600
TSLA|2021-02-08 00:00:00|869.67|877.77|854.75|863.42|863.42|20161700
TSLA|2021-02-09 00:00:00|855.12|859.8|841.75|849.46|849.46|15157700
TSLA|2021-02-10 00:00:00|843.64|844.82|800.02|804.82|804.82|36216100
TSLA|2021-02-11 00:00:00|812.44|829.88|801.73|811.66|811.66|21622800
TSLA|2021-02-12 00:00:00|801.26|817.33|785.33|816.12|816.12|23768300
TSLA|2021-02-16 00:00:00|818.0|821.0|792.44|796.22|796.22|19802300
TSLA|2021-02-17 00:00:00|779.09|799.84|762.01|798.15|798.15|25996500
TSLA|2021-02-18 00:00:00|780.9|794.69|776.27|787.38|787.38|17957100
TSLA|2021-02-19 00:00:00|795.0|796.79|777.37|781.3|781.3|18958300
TSLA|2021-02-22 00:00:00|762.64|768.5|710.2|714.5|714.5|37269700
TSLA|2021-02-23 00:00:00|662.13|713.61|619.0|698.84|698.84|66606900
TSLA|2021-02-24 00:00:00|711.85|745.0|694.17|742.02|742.02|36767000
TSLA|2021-02-25 00:00:00|726.15|737.21|670.58|682.22|682.22|39023900
TSLA|2021-02-26 00:00:00|700.0|706.7|659.51|675.5|675.5|41089200
TSLA|2021-03-01 00:00:00|690.11|719.0|685.05|718.43|718.43|27136200
TSLA|2021-03-02 00:00:00|718.28|721.11|685.0|686.44|686.44|23732200
TSLA|2021-03-03 00:00:00|687.99|700.7|651.71|653.2|653.2|30208000
TSLA|2021-03-04 00:00:00|655.8|668.45|600.0|621.44|621.44|65919500
TSLA|2021-03-05 00:00:00|626.06|627.84|539.49|597.95|597.95|89396500
TSLA|2021-03-08 00:00:00|600.55|620.13|558.79|563.0|563.0|51787000
TSLA|2021-03-09 00:00:00|608.18|678.09|595.21|673.58|673.58|67523300
TSLA|2021-03-10 00:00:00|700.3|717.85|655.06|668.06|668.06|60605700
TSLA|2021-03-11 00:00:00|699.4|702.5|677.18|699.6|699.6|36253900
TSLA|2021-03-12 00:00:00|670.0|694.88|666.14|693.73|693.73|33583800
TSLA|2021-03-15 00:00:00|694.09|713.18|684.04|707.94|707.94|29335600
TSLA|2021-03-16 00:00:00|703.35|707.92|671.0|676.88|676.88|32195700
TSLA|2021-03-17 00:00:00|656.87|703.73|651.01|701.81|701.81|40372500
TSLA|2021-03-18 00:00:00|684.29|689.23|652.0|653.16|653.16|33224800
TSLA|2021-03-19 00:00:00|646.6|657.23|624.62|654.87|654.87|42894000
TSLA|2021-03-22 00:00:00|684.59|699.62|668.75|670.0|670.0|39512200
TSLA|2021-03-23 00:00:00|675.77|677.8|657.51|662.16|662.16|30491900
TSLA|2021-03-24 00:00:00|667.91|668.02|630.11|630.27|630.27|33795200
TSLA|2021-03-25 00:00:00|613.0|645.5|609.5|640.39|640.39|39224900
TSLA|2021-03-26 00:00:00|641.87|643.82|599.89|618.71|618.71|33852800
TSLA|2021-03-29 00:00:00|615.64|616.48|596.02|611.29|611.29|28637000
TSLA|2021-03-30 00:00:00|601.75|637.66|591.01|635.62|635.62|39432400
TSLA|2021-03-31 00:00:00|646.62|672.0|641.11|667.93|667.93|33337300
TSLA|2021-04-01 00:00:00|688.37|692.42|659.42|661.75|661.75|35298400
TSLA|2021-04-05 00:00:00|707.71|708.16|684.7|691.05|691.05|41842800
TSLA|2021-04-06 00:00:00|690.3|696.55|681.37|691.62|691.62|28271800
TSLA|2021-04-07 00:00:00|687.0|691.38|667.84|670.97|670.97|26309400
TSLA|2021-04-08 00:00:00|677.38|689.55|671.65|683.8|683.8|23924300
TSLA|2021-04-09 00:00:00|677.77|680.97|669.43|677.02|677.02|21437100
TSLA|2021-04-12 00:00:00|685.7|704.8|682.09|701.98|701.98|29135700
TSLA|2021-04-13 00:00:00|712.7|763.0|710.66|762.32|762.32|44652800
TSLA|2021-04-14 00:00:00|770.7|780.79|728.03|732.23|732.23|49017400
TSLA|2021-04-15 00:00:00|743.1|743.69|721.31|738.85|738.85|27848900
TSLA|2021-04-16 00:00:00|728.65|749.41|724.6|739.78|739.78|27979500
TSLA|2021-04-19 00:00:00|719.6|725.4|691.8|714.63|714.63|39686200
TSLA|2021-04-20 00:00:00|717.42|737.25|710.69|718.99|718.99|35609000
TSLA|2021-04-21 00:00:00|704.77|744.84|698.0|744.12|744.12|31215500
TSLA|2021-04-22 00:00:00|741.5|753.77|718.04|719.69|719.69|35590300
TSLA|2021-04-23 00:00:00|719.8|737.36|715.46|729.4|729.4|28370000
TSLA|2021-04-26 00:00:00|741.0|749.3|732.61|738.2|738.2|31038500
TSLA|2021-04-27 00:00:00|717.96|724.0|703.35|704.74|704.74|29437000
TSLA|2021-04-28 00:00:00|696.41|708.5|693.6|694.4|694.4|22271000
TSLA|2021-04-29 00:00:00|699.51|702.25|668.5|677.0|677.0|28845400
TSLA|2021-04-30 00:00:00|667.59|715.47|666.14|709.44|709.44|40758700
TSLA|2021-05-03 00:00:00|703.8|706.0|680.5|684.9|684.9|27043100
TSLA|2021-05-04 00:00:00|678.94|683.45|657.7|673.6|673.6|29739300
TSLA|2021-05-05 00:00:00|681.06|685.3|667.34|670.94|670.94|21901900
TSLA|2021-05-06 00:00:00|680.76|681.02|650.0|663.54|663.54|27784600
TSLA|2021-05-07 00:00:00|665.8|690.0|660.22|672.37|672.37|23469200
